no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
502;BENTLEY;Intense;128;100;EDP;Men;spicy;leather benzoin incense cedar patchouli;clary sage african geranium cinnamon rum wood;spicy leather benzoin incense cedar patchouli clary sage african geranium cinnamon rum wood;91;13;2
503;BURBERRY;My Burberry;197;90;EDP;Women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;floral oriental damascus centifolia rose geranium freesia flowers golden quince;79;10;2
504;Estee Lauder;Private Collection;219;50;EDP;Women;floral;sandalwood heliotrope amber musk;bulgarian rose chrysanthemum reseda ylangylang coriander;floral sandalwood heliotrope amber musk bulgarian rose chrysanthemum reseda ylangylang coriander;96;11;2
505;LALIQUE;Encre Noire;136;100;EDT;Men;woody;cashmere wood musk;haitian vetiver;woody cashmere wood musk haitian vetiver;40;6;0
506;Yves Saint Laurent;Rive Gauche Homme;560;80;EDT;Men;aromatic;gaiac wood;patchouli vetiver;aromatic gaiac wood patchouli vetiver;37;5;0
507;LANVIN PARIS;Modern Princess;174;90;EDP;Women;floral;white musk white woods vanilla orchid;jasmine freesia;floral white musk white woods vanilla orchid jasmine freesia;60;8;0
508;GIORGIO ARMANI;Eau Pour Homme Reno 2013;186;50;EDT;Men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;citrus patchouli oakmoss sandalwood cloves lily nutmeg;54;7;0
509;Nikos;Sculpture Homme;52;100;EDT;Men;floral;amber benzoin cedar tonka beans;geranium jasmine lily of valley rose;floral amber benzoin cedar tonka beans geranium jasmine lily of valley rose;75;12;2
510;DAVIDOFF;The Brilliant Game;93;100;EDT;Men;arabian;sensual addiction of tonka bean note;charismatic virility of a cedarwood;arabian sensual addiction of tonka bean note charismatic virility of a cedarwood;80;11;2
511;BURBERRY;London;172;100;EDP;Women;floral;musk patchouli sandalwood;jasmine tiare flower peony clementine;floral musk patchouli sandalwood jasmine tiare flower peony clementine;70;9;2
512;NARCISO RODRIGUEZ;Narciso Rodriguez For Her;108;100;EDT;Women;woody;vetiver vanilla;egyptian musk amber;woody vetiver vanilla egyptian musk amber;41;6;0
513;Parfums Gres;Cabotine;75;100;EDT;Women;floral;cedarwood vanilla tonka bean cybet musk amber;rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;floral cedarwood vanilla tonka bean cybet musk amber rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;129;18;1
514;Elizabeth Arden;Green Tea;72;100;EDP;Women;citrus;caraway amber musk by green tea jasmine cloves oakmoss celery seeds;carnation muskjasmine oakmoss amber white fennel;citrus caraway amber musk by green tea jasmine cloves oakmoss celery seeds carnation muskjasmine oakmoss amber white fennel;123;16;1
515;Van Cleef & Arpels;Ambre Imperial;479;75;EDP;Unisex;woody;woodsy notes;tonka bean vanilla amber benzoin;woody woodsy notes tonka bean vanilla amber benzoin;51;8;0
516;LANVIN PARIS;L'Homme Sport;149;100;EDT;Men;aromatic;cedar sandalwood musk amber iris vetiver benzoin moss spices;jasmine violet iris ylangylang gardenia carnation rosemary orchid cloves;aromatic cedar sandalwood musk amber iris vetiver benzoin moss spices jasmine violet iris ylangylang gardenia carnation rosemary orchid cloves;142;18;1
517;J.CASANOVA;Pandora;79;50;EDP;Women;fruity;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;fruity cedar moss musk amber sandalwood lilyofthevalley rose jasmine narcissus orchid;85;11;2
518;HUGO BOSS;Femme;139;75;EDP;Women;floral;apricot lemon wood;jasmine fleur de lys bulgarian rose;floral apricot lemon wood jasmine fleur de lys bulgarian rose;61;10;0
519;Calvin Klein;Secret Obsession;163;100;EDP;Women;woody;burnt amber cashere woods vanilla sandalwood;jasmine orange flower tuberose;woody burnt amber cashere woods vanilla sandalwood jasmine orange flower tuberose;81;11;2
520;AZZARO;Wanted;196;100;EDT;Men;woody;haitian vetiver tonka bean amberwood;guatemalan cardamom juniper apple geranium;woody haitian vetiver tonka bean amberwood guatemalan cardamom juniper apple geranium;85;11;2
521;Kenneth Cole;Black;177;100;EDT;Men;floral;amber musk violet leaf suede;nutmeg incense cedar lotus exotic woods;floral amber musk violet leaf suede nutmeg incense cedar lotus exotic woods;75;12;2
522;CARTIER;La Panthere;249;75;EDP;Women;fruity;oakmoss musk leather patchouli;gardenia rose ylangylang orange blossom pear;fruity oakmoss musk leather patchouli gardenia rose ylangylang orange blossom pear;82;11;2
523;adidas;Victory League;30;100;EDT;Men;vanilla;cedarwoodvanilla musk;lavender pear cinnamon;vanilla cedarwoodvanilla musk lavender pear cinnamon;52;6;0
524;S.T.Dupont;Dupont;83;100;EDT;Men;spicy;heliotrope musk lignum vitae amber;essence of birch iris cedar wood;spicy heliotrope musk lignum vitae amber essence of birch iris cedar wood;73;12;2
525;PENHALIGON'S;Portraits George;886;75;EDP;Men;woody;tonka beans;shaving soap;woody tonka beans shaving soap;30;5;0
526;BURBERRY;London;140;50;EDP;Women;floral;sandalwood musk patchouli;tiare flower jasmine peony a hint of fresh clementine zest;floral sandalwood musk patchouli tiare flower jasmine peony a hint of fresh clementine zest;91;14;2
527;HUGO BOSS;Bottled Unlimited;126;100;EDT;Men;vanilla;sandalwood musk;pineapple rose;vanilla sandalwood musk pineapple rose;38;5;0
528;CHANEL;Bleu De Chanel;245;100;EDT;Men;citrus;labdanum sandalwod patchouli vetiver incense cedar white musk;ginger iso e super nutmeg jasmine;citrus labdanum sandalwod patchouli vetiver incense cedar white musk ginger iso e super nutmeg jasmine;102;15;2
529;Laura Biagiotti;Roma Uomo;173;125;EDT;Men;citrus;cedarwood patchouli sandalwood benzoin;jasmine heliotrope juniperberry balsam fir;citrus cedarwood patchouli sandalwood benzoin jasmine heliotrope juniperberry balsam fir;88;10;2
530;Juicy Couture;Viva La Juicy;151;100;EDP;Women;floral;amber caramel praline sandalwood vanilla;honeysuckle gardenia jasmine;floral amber caramel praline sandalwood vanilla honeysuckle gardenia jasmine;76;9;2
531;joop;Homme;60;125;EDT;Men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lili of valley heliotrope;citrus vanilla tonka bean patchouli sandalwood jasmine lili of valley heliotrope;80;11;2
532;NARCISO RODRIGUEZ;Narciso Rodriguez;207;50;EDP;Women;floral;patchoulisandalwood;ambermusk;floral patchoulisandalwood ambermusk;36;3;0
533;Dolce & Gabbana;3 L'Imperatrice;157;100;EDT;Women;floral;musk sandalwood lemon tree;watermelon cyclamen jasmine;floral musk sandalwood lemon tree watermelon cyclamen jasmine;61;8;0
534;PRADA;Amber Intense;321;100;EDP;Men;spicy;creamy amber;vanilla;spicy creamy amber vanilla;26;4;0
535;CHOPARD;Wish;83;75;EDP;Women;arabian;voluptuous sensuality living temple incense amber vanilla bean toffee tonka bean;floral bouquet living patchouli flower magnolia jasmine living osmanthus flower;arabian voluptuous sensuality living temple incense amber vanilla bean toffee tonka bean floral bouquet living patchouli flower magnolia jasmine living osmanthus flower;168;18;1
536;AZZARO;Visit;110;100;EDT;Men;woody;amber musk;labdanum guaiac wood incense cedar;woody amber musk labdanum guaiac wood incense cedar;51;8;0
537;Rasasi;Blue Lady;27;40;EDP;Women;floral;sandalwood vetiver vanilla amber musk;peach plum narcissus jasmine;floral sandalwood vetiver vanilla amber musk peach plum narcissus jasmine;73;10;2
538;CHANEL;Bleu De Chanel;374;100;EDP;Men;woody;incense amber cedar sandalwood patchouli labdanum amber wood;ginger jasmine nutmeg melon;woody incense amber cedar sandalwood patchouli labdanum amber wood ginger jasmine nutmeg melon;94;12;2
539;MINI COLLECTION;2.2 s..y  No.1139 Eau De Par;16;25;EDP;Women;jasmine;balsamic;bakhoor;jasmine balsamic bakhoor;24;3;0
540;GUESS;Dare;79;100;EDT;Men;spicy;musk patchouli cedar wood;flowers herb shepherd cashmere jasmine;spicy musk patchouli cedar wood flowers herb shepherd cashmere jasmine;70;10;2
541;Mancera;Musky Garden;297;120;EDP;Women;floral;white musk blackberry raspberry amber;iris bulgarian rose indian jasmine patchouli leaf;floral white musk blackberry raspberry amber iris bulgarian rose indian jasmine patchouli leaf;94;13;2
542;LACOSTE;Eau De Lacoste;139;90;EDP;Women;floral;sandalwood vetiver vanilla peru balsam;pineapple flower sambac jasmine rose orange flower;floral sandalwood vetiver vanilla peru balsam pineapple flower sambac jasmine rose orange flower;96;12;2
543;Geoffrey Beene;Grey Flannel;82;120;EDT;Men;woody;tonka bean almond oakmoss vetiver cedar;mimosa iris violet sage rose geranium narcissus;woody tonka bean almond oakmoss vetiver cedar mimosa iris violet sage rose geranium narcissus;93;14;2
544;BURBERRY;Burberry Body;148;85;EDP;Women;fruity;sandalwood cashmerean musk amber vanilla;roses iris;fruity sandalwood cashmerean musk amber vanilla roses iris;58;8;0
545;JAGUAR;Classic;63;100;EDT;Men;arabian;sandalwood benzoin white musk;ginger orange blossom lotus;arabian sandalwood benzoin white musk ginger orange blossom lotus;65;9;0
546;DAVIDOFF;Cool Water;71;75;EDT;Men;aromatic;musk oakmoss cedar amber;sandalwood geranium neroli jasmine;aromatic musk oakmoss cedar amber sandalwood geranium neroli jasmine;68;9;2
547;GUESS;Marciano;83;100;EDP;Women;citrus;vanilla musk woody accords;floral rhythm of peony pink honeysuckle intensively clean sweet jasmine;citrus vanilla musk woody accords floral rhythm of peony pink honeysuckle intensively clean sweet jasmine;105;15;2
548;jennifer lopez;Still;108;100;EDP;Women;floral;lily of valley woody musky;freesia rose jasmine orange blossom;floral lily of valley woody musky freesia rose jasmine orange blossom;69;11;2
549;Armaf;Club De Nuit Intense;190;200;EDP;Men;jasmine;vanilla ambergris musk patchouli;rose jasmine birch;jasmine vanilla ambergris musk patchouli rose jasmine birch;59;7;0
550;Genie;1029 Collection;14;25;EDP;Women;fruity;vegetal amber musk mahogany;magnolia lotus peony;fruity vegetal amber musk mahogany magnolia lotus peony;55;8;0
551;cacharel;Anais Anais Loriginal;157;50;EDT;Women;fruity;vetiver moss sandalwood musk black currant;lily lilyofthevalley rose jasmine ylangylang;fruity vetiver moss sandalwood musk black currant lily lilyofthevalley rose jasmine ylangylang;94;12;2
552;HOUBIGANT;Quelques Fleurs L'Original;285;100;EDP;Women;floral;amber civet honey lichen musk sandalwood tonka beans vanilla;carnation heliotrope iris root jasmine lilac lily of valley orchid tuberose violet ylangylang;floral amber civet honey lichen musk sandalwood tonka beans vanilla carnation heliotrope iris root jasmine lilac lily of valley orchid tuberose violet ylangylang;161;23;1
553;Dolce & Gabbana;The One Royal Night;290;100;EDP;Men;woody;sandalwood cedar amber labdanum;pear wood nutmeg;woody sandalwood cedar amber labdanum pear wood nutmeg;54;8;0
554;Givenchy;Xeryus Rouge;199;100;EDT;Men;woody;leather amber musk oakmoss balsam fir vetiver incense cedar;cyclamen coriander carnation cypress sandalwood juniper berries cinnamon tarragon petitgrain geranium;woody leather amber musk oakmoss balsam fir vetiver incense cedar cyclamen coriander carnation cypress sandalwood juniper berries cinnamon tarragon petitgrain geranium;167;21;1
555;Ajmal;Sacrifice;70;50;EDP;Women;floral;woody oriental musky;floral musky;floral woody oriental musky floral musky;40;4;0
556;Estee Lauder;Beautiful;181;75;EDP;Women;floral;sandalwood vetiver amber;orange flower muguet jasmine ylangylang;floral sandalwood vetiver amber orange flower muguet jasmine ylangylang;71;9;2
557;Armaf;Club De Nuit Intense Man;124;105;EDT;Men;citrus;amber agarwood vanilla patchouli;caraway nutmeg violet pepper;citrus amber agarwood vanilla patchouli caraway nutmeg violet pepper;68;9;2
558;Mancera;Roses Vanille;248;120;EDP;Women;vanilla;vanilla sugar white musk cedar;rose sugar;vanilla vanilla sugar white musk cedar rose sugar;49;6;0
559;DORALL COLLECTION;DC;9;100;EDT;Men;floral;vetiver patchouli oakmoss musk sandalwood;galbanum rosemary jasmine coumarin;floral vetiver patchouli oakmoss musk sandalwood galbanum rosemary jasmine coumarin;83;10;2
560;COACH;New York;5;2;EDT;Men;citrus;vetiver suede ambergris;cardamom coriander geranium;citrus vetiver suede ambergris cardamom coriander geranium;58;7;0
561;GIORGIO ARMANI;Code;265;75;EDT;Men;citrus;tobacco leather tonka bean;olive flower spiced star anise;citrus tobacco leather tonka bean olive flower spiced star anise;64;10;0
562;Van Cleef & Arpels;First;171;100;EDT;Women;floral;honey sandalwood tonka bean amber musk civet vanilla oakmoss;carnation tuberose orchid orris root jasmine hyacinth turkish rose ylangylang lilyofthevalley narcissus;floral honey sandalwood tonka bean amber musk civet vanilla oakmoss carnation tuberose orchid orris root jasmine hyacinth turkish rose ylangylang lilyofthevalley narcissus;171;22;1
563;LOEWE;Esencia;200;100;EDT;Men;woody;cedar musk sandalwood;cardamom pepper;woody cedar musk sandalwood cardamom pepper;43;6;0
564;Parfums De Marly;Delina Exclusive;785;75;EDP;Women;woody;woody amber vanilla;turkish rose incense burning oud;woody woody amber vanilla turkish rose incense burning oud;58;8;0
565;ESCADA;Especially Elixir;198;75;EDP;Women;woody;dry amber madagascar vanilla patchouli cashmere dry amber;ylang ylang turkish rose plums;woody dry amber madagascar vanilla patchouli cashmere dry amber ylang ylang turkish rose plums;94;11;2
