no;brand;name;new_price;ml;concentration;department;scents;base_note;middle_note;combined_notes;note_length;unique_words;cluster
566;JAGUAR;Classic Blue;67;100;EDT;Men;spicy;sandalwood benzoin white musk;ginger orange blossom lotus;spicy sandalwood benzoin white musk ginger orange blossom lotus;63;9;0
567;NICOLAI;Patchouli Intense;653;100;EDP;Unisex;floral;sandalwood amber vanilla;ceylon cinnamon rose patchouli;floral sandalwood amber vanilla ceylon cinnamon rose patchouli;62;8;0
568;COACH;Floral;173;90;EDP;Women;floral;musk patchouli sandalwood vanilla woody notes;gardenia hedione jasmine sambac tea rose;floral musk patchouli sandalwood vanilla woody notes gardenia hedione jasmine sambac tea rose;93;13;2
569;VERSACE;The Dreamer;135;100;EDT;Men;arabian;cedar tonka bean;geranium rose tobacco;arabian cedar tonka bean geranium rose tobacco;46;7;0
570;Aramis;900 Herbal Spray;100;100;EDC;Men;woody;sandalwood amber patchouli civet oakmoss vetiver;carnation orris root jasmine lilyofthevalley rose geranium;woody sandalwood amber patchouli civet oakmoss vetiver carnation orris root jasmine lilyofthevalley rose geranium;113;14;2
571;Fendi;L'Acquarossa;238;75;EDP;Women;musk;red cedar white musk patchouli;lantana flower rose orange blossom magnolia;musk red cedar white musk patchouli lantana flower rose orange blossom magnolia;79;11;2
572;Roberto Cavalli;Florence;139;50;EDP;Women;floral;amber musk patchouli;grapefruit blossom hibiscus seeds orange blossom;floral amber musk patchouli grapefruit blossom hibiscus seeds orange blossom;76;9;2
573;Dolce & Gabbana;Light Blue;220;100;EDT;Women;floral;musk wood incense oakmoss;jasmine white rose;floral musk wood incense oakmoss jasmine white rose;51;8;0
574;Estee Lauder;Pleasures Intense;259;100;EDP;Women;floral;maplevanillastyraxbenzoin;lilytiare flowerjasminemoroccan rose;floral maplevanillastyraxbenzoin lilytiare flowerjasminemoroccan rose;69;5;2
575;Ajmal;Wisal;58;50;EDP;Women;floral;rose sensual musk;sandalwood;floral rose sensual musk sandalwood;35;5;0
576;Dior;Sauvage;337;100;EDP;Men;arabian;ambroxan vanilla;sichaun pepper lavender star anise nutmeg;arabian ambroxan vanilla sichaun pepper lavender star anise nutmeg;66;9;0
577;S.T.Dupont;Passenger;99;100;EDT;Men;spicy;paraguayan lignum vitae indonesian patchouli laotian benzoin copper accords;indian ginger guatemalan cardamom mauritanian red pepper lavender;spicy paraguayan lignum vitae indonesian patchouli laotian benzoin copper accords indian ginger guatemalan cardamom mauritanian red pepper lavender;147;18;1
578;BVLGARI;Goldea The Roman Night Absolute;261;75;EDP;Women;floral;black musk moss patchouli;jasmin sambac madagascar vanilla;floral black musk moss patchouli jasmin sambac madagascar vanilla;65;9;0
579;HUGO BOSS;Hugo;99;125;EDT;Men;fresh;patchouli fir cedar;carnation sage geranium jasmine;fresh patchouli fir cedar carnation sage geranium jasmine;57;8;0
580;BVLGARI;Petits Et Mamans;193;100;EDT;Women;floral;iris vanilla white peach powdery notes;sunflower chamomile rose;floral iris vanilla white peach powdery notes sunflower chamomile rose;70;10;2
581;DORALL COLLECTION;Eternally Hot;8;100;EDT;Women;woody;vanilla musk;gardenia jasmine;woody vanilla musk gardenia jasmine;35;5;0
582;Dunhill;Desire;54;30;EDT;Men;fresh;vanilla musk labdanum;rose teakwood patchouli;fresh vanilla musk labdanum rose teakwood patchouli;51;7;0
583;marbert man;Marbert Man;68;125;EDT;Men;woody;musk sandalwood cedar oakmoss;carnation cinnamon white honey;woody musk sandalwood cedar oakmoss carnation cinnamon white honey;66;9;0
584;AVON;Always;84;50;EDP;Women;floral;cashmere woods;orange blossoms;floral cashmere woods orange blossoms;37;5;0
585;Aramis;Brown;94;110;EDT;Men;woody;leather oakmoss amber;pelargonium patchouli vetiver sandalwood;woody leather oakmoss amber pelargonium patchouli vetiver sandalwood;68;8;2
586;GUESS;By Marciano;109;100;EDP;Women;floral;musk vanilla woody notes;peony jasmine honeysuckle;floral musk vanilla woody notes peony jasmine honeysuckle;57;8;0
587;LALIQUE;Encre Noire;134;100;EDT;Men;woody;cashmere wood musk;haiti vetiver bourbon vetiver;woody cashmere wood musk haiti vetiver bourbon vetiver;54;7;0
588;GIORGIO ARMANI;Si Passione;246;100;EDP;Women;floral;cedar vanilla amberwood patchouli;heliotrope pine apple jasmine rose;floral cedar vanilla amberwood patchouli heliotrope pine apple jasmine rose;75;10;2
589;CARTIER;Declaration Essence;173;100;EDT;Men;citrus;vetiver sandalwood musk amber;geranium lemon sicilian lemon;citrus vetiver sandalwood musk amber geranium lemon sicilian lemon;66;8;0
590;Sedr Al-Khaleej Perfumes;For Ever;34;100;EDP;Men;fresh;woody musk amber;praline cardamom cinnamon;fresh woody musk amber praline cardamom cinnamon;48;7;0
591;Givenchy;Organza;251;100;EDP;Women;arabian;guaiac wood woodsy notes virginia cedar amber vanilla;peony walnut iris jasmine tuberose honeysuckle;arabian guaiac wood woodsy notes virginia cedar amber vanilla peony walnut iris jasmine tuberose honeysuckle;108;15;2
592;Roberto Cavalli;Uomo;126;100;EDT;Men;floral;cedar tonka bean patchouli;honey lavender;floral cedar tonka bean patchouli honey lavender;48;7;0
593;DKNY;Be Delicious Red;314;100;EDP;Women;floral;leather vanilla pod amber;patchouli apple rose;floral leather vanilla pod amber patchouli apple rose;53;8;0
594;MONTBLANC;Mont Blanc Legend;140;100;EDT;Men;floral;vanilla amber;jasmine geranium neroli ylangylan;floral vanilla amber jasmine geranium neroli ylangylan;54;7;0
595;ANGEL SCHLESSER;Schlesser Essential;165;100;EDT;Men;fruity;leather tonka bean musk cedar;cinnamon coffee violet leaf;fruity leather tonka bean musk cedar cinnamon coffee violet leaf;64;10;0
596;Dunhill;Desire Extreme;114;100;EDT;Men;spicy;amber musk;evergreen cypress;spicy amber musk evergreen cypress;34;5;0
597;GUCCI;Flora;179;50;EDT;Women;citrus;patchouli;gardenia plumeria;citrus patchouli gardenia plumeria;34;4;0
598;HUGO BOSS;Just Different;144;125;EDT;Men;spicy;cashmeran fir;freesia basil;spicy cashmeran fir freesia basil;33;5;0
599;Ajmal;Alf Laila O Laila;153;60;EDP;Unisex;woody;musky woody;floral spicy;woody musky woody floral spicy;30;4;0
600;PRADA;Amber;252;100;EDT;Men;arabian;neroli orange blossom earthy vetiver saffron;patchouli tonka bean lovely vanilla;arabian neroli orange blossom earthy vetiver saffron patchouli tonka bean lovely vanilla;88;12;2
601;COACH;Floral;165;90;EDP;Women;floral;patchouli woody notes musk;tea rose jasmine sambac gardenia;floral patchouli woody notes musk tea rose jasmine sambac gardenia;66;10;0
602;Roberto Cavalli;Uomo;134;100;EDT;Men;floral;cedar patchouli tonka bean;honey lavender;floral cedar patchouli tonka bean honey lavender;48;7;0
603;DIESEL;Plus Plus Feminine;41;75;EDT;Women;oriental;musk sandalwood virginia cedar amber nutmeg vanille orris root;jasmine coconut magnolia orchid lily cherry big strawberry red apple milk;oriental musk sandalwood virginia cedar amber nutmeg vanille orris root jasmine coconut magnolia orchid lily cherry big strawberry red apple milk;145;21;1
604;DORALL COLLECTION;Classic Black;8;100;EDT;Men;fresh;chocolatecashmere wood patchouli tonka bean;basil verbena lavender;fresh chocolatecashmere wood patchouli tonka bean basil verbena lavender;72;9;2
605;Calvin Klein;Beauty;115;100;EDP;Women;floral;vanilla musk sandalwood guaiac wood amber;cardamom pepper flowers;floral vanilla musk sandalwood guaiac wood amber cardamom pepper flowers;72;10;2
606;MONTBLANC;Emblem ED;22;5;EDT;Men;spicy;woodsy tonka bean;violet leaf cinnamon;spicy woodsy tonka bean violet leaf cinnamon;44;7;0
607;CAROLINA HERRERA;212 Sexy;151;100;EDP;Women;floral;cotton candymusksandalwoodvanilla;gardeniageranium;floral cotton candymusksandalwoodvanilla gardeniageranium;57;4;0
608;BURBERRY;Brit Rhythm;119;90;EDT;Men;woody;cedarwood tonka bean;black leather patchouli styrax;woody cedarwood tonka bean black leather patchouli styrax;57;8;0
609;LANVIN;Oxygene;116;75;EDP;Women;floral;white musk sandalwood;rose milk gardenia;floral white musk sandalwood rose milk gardenia;47;7;0
610;HUGO BOSS;Boss;105;100;EDT;Men;woody;sandalwood vetiver cedarwood vanilla;geranium cinnamon cloves;woody sandalwood vetiver cedarwood vanilla geranium cinnamon cloves;67;8;2
611;Sedr Al-Khaleej Perfumes;Love Touch Body Sp;12;125;EDT;Women;floral;leathermusk;tiare flowerrose;floral leathermusk tiare flowerrose;35;4;0
612;S.T.Dupont;Essence Pure;86;100;EDT;Men;citrus;cypress amber musk cedar;iris lavender bamboo;citrus cypress amber musk cedar iris lavender bamboo;52;8;0
613;Genie;London Burberry;16;25;EDP;Women;floral;wood musk;jasmine tiare flower soft peony;floral wood musk jasmine tiare flower soft peony;48;8;0
614;CAROLINA HERRERA;212 Vip;160;100;EDT;Men;vanilla;king wood salty amber tonka beans;chilled vodka hot ginger slice of apple;vanilla king wood salty amber tonka beans chilled vodka hot ginger slice of apple;81;14;2
615;HUGO BOSS;Bottled Night;170;100;EDT;Men;woody;louro amarelo wood sandalwood musky notes;cardamom african violet jasmine;woody louro amarelo wood sandalwood musky notes cardamom african violet jasmine;79;11;2
616;Emper;Tool Box;54;100;EDT;Men;oriental;geranium amber white musks;patchouli vetiver lavender;oriental geranium amber white musks patchouli vetiver lavender;62;8;0
617;Shiseido;Zen;260;100;EDP;Women;floral;patchouli cedarwood skin musk white musk marine amber incense;freesia gardenia red apple violet lily of valley hyacinth chinese rose lotus flower;floral patchouli cedarwood skin musk white musk marine amber incense freesia gardenia red apple violet lily of valley hyacinth chinese rose lotus flower;152;22;1
618;Juicy Couture;Viva La Juicy;144;100;EDP;Women;floral;amber caramel praline sandalwood vanilla;honeysuckle gardenia jasmine;floral amber caramel praline sandalwood vanilla honeysuckle gardenia jasmine;76;9;2
619;CAROLINA HERRERA;212 S**Y;183;100;EDP;Women;floral;bergamot gardenia pelargonium cotton candy flowers;pelargonium cotton candy flowers;floral bergamot gardenia pelargonium cotton candy flowers pelargonium cotton candy flowers;90;7;2
620;Sedr Al-Khaleej Perfumes;Eghra Perfume;42;9;Oil;Women;jasmine;jasmine amber balsamic;fruity incense woody;jasmine jasmine amber balsamic fruity incense woody;51;6;0
621;COACH;Floral;173;90;EDP;Women;floral;musk patchouli sandalwood vanilla woody notes;gardenia hedione jasmine sambac tea rose;floral musk patchouli sandalwood vanilla woody notes gardenia hedione jasmine sambac tea rose;93;13;2
622;MONTBLANC;Lady Emblem;155;75;EDP;Women;floral;musk raspberry;sandalwood patchouli rosewood;floral musk raspberry sandalwood patchouli rosewood;51;6;0
623;jennifer lopez;Still;107;100;EDP;Women;floral;amber orris sandalwood;honeysuckle orange tree blossom pink freesia;floral amber orris sandalwood honeysuckle orange tree blossom pink freesia;74;10;2
624;TOM FORD;Black Orchid;211;50;EDP;Women;spicy;incenselotuspatchoulisandalwoodvanillavetiver;black orchidfruity notestuberose;spicy incenselotuspatchoulisandalwoodvanillavetiver black orchidfruity notestuberose;84;5;2
625;Dolce & Gabbana;Pour Femme;165;100;EDP;Women;floral;marshmallow sandalwood vanilla;jasmine orange blossom;floral marshmallow sandalwood vanilla jasmine orange blossom;60;7;0
626;NARCISO RODRIGUEZ;Pure Musc;307;100;EDP;Women;floral;cashmeran;flower;floral cashmeran flower;23;3;0
627;HUGO BOSS;Boss Bottled Man Of Today;177;100;EDT;Men;woody;vanilla sandalwood vetiver cedarwood olivewood amberlikenotes musklikenotes;geranium cinnamon cloves;woody vanilla sandalwood vetiver cedarwood olivewood amberlikenotes musklikenotes geranium cinnamon cloves;106;11;2
628;GUCCI;Flora;196;75;EDT;Women;citrus;patchouli sandalwood;rose osmanthus;citrus patchouli sandalwood rose osmanthus;42;5;0
629;Dolce & Gabbana;The One;189;100;EDT;Men;spicy;amber cedar toacco;ginger orange blossom cardamom;spicy amber cedar toacco ginger orange blossom cardamom;55;8;0
630;Calvin Klein;Beauty;110;100;EDP;Women;floral;virginia cedar;jasmine;floral virginia cedar jasmine;29;4;0
631;CAROLINA HERRERA;Good Girl;242;50;EDP;Women;arabian;tonka bean cacao vanilla praline sandalwood amber cashmere wood musk patchouli cinnamon cedar;tuberose jasmine sambac orris orange blossom bulgarian rose;arabian tonka bean cacao vanilla praline sandalwood amber cashmere wood musk patchouli cinnamon cedar tuberose jasmine sambac orris orange blossom bulgarian rose;161;22;1
632;VERSACE;Versace Pour Homme;163;100;EDT;Men;fresh;amber tonka beans musk;geranium clary sage blue hyacinth;fresh amber tonka beans musk geranium clary sage blue hyacinth;62;10;0
633;CHANEL;Chance Eau Tendre;288;100;EDT;Women;floral;amber cedar musk;hyacinth iris jasmine;floral amber cedar musk hyacinth iris jasmine;45;7;0
634;Ajmal;Wisal;60;50;EDP;Unisex;floral;floral musky;spicy floral;floral floral musky spicy floral;32;3;0
635;CAROLINA HERRERA;212 Wild Party;232;80;EDP;Women;floral;musk woody accord;orange blossom sun rose orchid;floral musk woody accord orange blossom sun rose orchid;55;9;0
636;Estee Lauder;Modern Muse Chic;275;100;EDP;Women;woody;cashmere wood agarwood oud labdanum patchouli ebony tree musk madagascar vanilla suede;jasmine sambac tuberose lily;woody cashmere wood agarwood oud labdanum patchouli ebony tree musk madagascar vanilla suede jasmine sambac tuberose lily;121;17;1
637;HUGO BOSS;Boss Orange;112;75;EDT;Women;woody;sandalwood olive tree vanilla;white flowers african orange flower;woody sandalwood olive tree vanilla white flowers african orange flower;71;10;2
638;Dolce & Gabbana;K;269;100;EDT;Men;woody;blood orange pressed sicilian lemon juniper berries;pimento clary sage geranium lavandin;woody blood orange pressed sicilian lemon juniper berries pimento clary sage geranium lavandin;94;13;2
639;Mancera;Roses Vanille;229;120;EDP;Women;oriental;sugar vanilla cedar white musk;rose sugar;oriental sugar vanilla cedar white musk rose sugar;50;7;0
640;DORALL COLLECTION;Lady Dorall;0;100;EDT;Women;spicy;apricot amber lemon tree;lily jasmine rose;spicy apricot amber lemon tree lily jasmine rose;48;8;0
641;Aramis;Brown;104;110;EDT;Men;floral;leather oakmoss amber;pelargonium patchouli vetiver sandalwood;floral leather oakmoss amber pelargonium patchouli vetiver sandalwood;69;8;2
642;Mancera;Red;365;120;EDP;Unisex;woody spicy;tobacco amber guaiac wood sandalwood haitian vetiver madagascar vanilla white musk;patchouli jasmine;woody spicy tobacco amber guaiac wood sandalwood haitian vetiver madagascar vanilla white musk patchouli jasmine;112;15;2
643;GIORGIO ARMANI;Acqua Di Gio;195;100;EDT;Men;citrus;musk sandalwood;hyacinth jasmine rose lily;citrus musk sandalwood hyacinth jasmine rose lily;49;7;0
644;MOSCHINO;Cheap And Chic;184;100;EDT;Women;floral;tonka bean orchid sandalwood vetiver iris ambergris;cyclamen rose water lily peony violet jasmine;floral tonka bean orchid sandalwood vetiver iris ambergris cyclamen rose water lily peony violet jasmine;104;15;2
645;CARTIER;Declaration;101;100;EDT;Men;spicy;leather amber tea tahitian vetiver oak moss cedar;iris ginger cinnamon pepper juniper orris root jasmine guatemalan cardamom;spicy leather amber tea tahitian vetiver oak moss cedar iris ginger cinnamon pepper juniper orris root jasmine guatemalan cardamom;130;19;1
646;BURBERRY;My Burberry;197;90;EDP;Women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;floral oriental damascus centifolia rose geranium freesia flowers golden quince;79;10;2
647;joop;Homme;55;125;EDT;Men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lily of valley heliotrope cinnamon;citrus vanilla tonka bean patchouli sandalwood jasmine lily of valley heliotrope cinnamon;89;12;2
648;Jacques Bogart;One Man Show;40;100;EDT;Men;woody;sandalwood tonka bean amber coconut vanilla oak moss cedar styrax;labdanum nutmeg spices carnation patchouli jasmine vetiver rose pine tree needles geranium;woody sandalwood tonka bean amber coconut vanilla oak moss cedar styrax labdanum nutmeg spices carnation patchouli jasmine vetiver rose pine tree needles geranium;162;23;1
649;Emper;Lady Presidente;60;80;EDP;Women;fruity;coconut musk sandalwood;lotus water lily raspberry star apple;fruity coconut musk sandalwood lotus water lily raspberry star apple;68;10;2
650;NINA RICCI;Mademoiselle Ricci;166;80;EDP;Women;spicy;violetwhite wood musk amber cedar violet;nerium oleander rose hip laurels;spicy violetwhite wood musk amber cedar violet nerium oleander rose hip laurels;79;12;2
651;CAROLINA HERRERA;212 VIP Rose;135;80;EDP;Women;floral;woody notes white musk amber;peach blossom;floral woody notes white musk amber peach blossom;49;8;0
