no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
362,PACO RABANNE,Ultraviolet,281,148.65,80,edp,Women,floral,madagascar vanilla absolute and ambergris,chinese osmanthus and indian sambac jasmine,4.08,AMLAQ,3.09,135,floral madagascar vanilla absolute and ambergris chinese osmanthus and indian sambac jasmine,0
364,BURBERRY,Brit Sheer,232,123.95,100,edt,Women,fruity,white musk and blond wood,pink peony peach blossom and nashi floral accent,4.08,noon,4.02,98.1K,fruity white musk and blond wood pink peony peach blossom and nashi floral accent,0
370,CHANEL,Gabrielle,1126,459.0,100,edp,Women,floral,sandalwood and musk,tuberose ylangylang jasmine and orange blossom,3.07,Al-Najm,3.07,347,floral sandalwood and musk tuberose ylangylang jasmine and orange blossom,0
372,Roberto Cavalli,Paradisio Azzuro,499,168.0,75,edp,Women,floral,amberwood cashmere wood cypress sandalwood vanilla,apple jasmine peach rose tuberose water notes,4.08,AMLAQ,3.09,135,floral amberwood cashmere wood cypress sandalwood vanilla apple jasmine peach rose tuberose water notes,0
373,Dolce & Gabbana,The One,441,130.95,100,edt,Men,spicy,amber moss musk vanilla vetiver,genisteae jasmine lily lily of the valley orange tree blossom ylangylang,4.05,Perfume Ms,3.06,111,spicy amber moss musk vanilla vetiver genisteae jasmine lily lily of the valley orange tree blossom ylangylang,0
375,Guerlain,Mon Bloom Of Rose,586,272.0,100,edt,Women,floral,neroli rose,sambac jasmine,4.0,Faces,3.09,61,floral neroli rose sambac jasmine,0
377,TESORI D´ORIENTE,Orchidea della Cina,60,38.95,100,edt,Women,floral,myrrhpralinemuskvanillasandalwood,orange blossomtiare flowerjasmineorchid,4.03,noon,4.02,98.1K,floral myrrhpralinemuskvanillasandalwood orange blossomtiare flowerjasmineorchid,0
382,GUCCI,Bamboo,575,189.0,75,edp,Women,floral,sandalwood,casablanca lily and ylang ylang extracomoros,4.08,Al-Najm,3.07,347,floral sandalwood casablanca lily and ylang ylang extracomoros,0
389,Dunhill,Custom,330,89.85,100,edt,Men,floral,virginia cedar incense,pepper,4.03,noon,4.02,98.1K,floral virginia cedar incense pepper,0
390,DORALL COLLECTION,Super Cobra,29,8.08,100,edt,Women,floral,amber milk mousse australian sandalwood and vanilla,orange blossom peach and raspberry leaf,5.0,B.A.G,3.07,14.1K,floral amber milk mousse australian sandalwood and vanilla orange blossom peach and raspberry leaf,0
395,CHOPARD,Happy Spirit,269,148.95,75,edp,Women,fruity,amber musk cashmere wood,honeysuckle osmanthus,5.0,AMLAQ,3.09,135,fruity amber musk cashmere wood honeysuckle osmanthus,0
405,CHOPARD,Happy Spirit,185,155.0,75,edp,Women,fruity,amber musk cashmere wood,honeysuckle osmanthus,5.0,Star.perfume,3.09,537,fruity amber musk cashmere wood honeysuckle osmanthus,0
406,COACH,New York,501,183.95,90,edp,Women,fruity,suede musk sandalwood cashmeran,turkish rose gardenia cyclamen,4.07,Star.perfume,3.09,537,fruity suede musk sandalwood cashmeran turkish rose gardenia cyclamen,0
419,LACOSTE,L.12.12 Rouge,113,113.0,100,edt,Men,spicy,acacia wood,rooibos tea extract red bush tea,4.0,hadayiq baris,3.08,122,spicy acacia wood rooibos tea extract red bush tea,0
422,BURBERRY,The Beat,280,150.0,75,edp,Women,floral,white musk vetiver and cedar wood,ceylon tea iris and bluebell,4.03,Faces,3.07,61,floral white musk vetiver and cedar wood ceylon tea iris and bluebell,0
423,Ajmal,Sacrifice,153,70.0,50,edp,Women,floral,woody oriental musky,floral musky,4.06,Rayhanti,4.02,27,floral woody oriental musky floral musky,0
424,Givenchy,Eau De Moiselle,550,183.0,100,edt,Women,floral,ambrette seeds tonka beans musk,rose ylang ylang,5.0,Asrar Aljamal,4.02,98,floral ambrette seeds tonka beans musk rose ylang ylang,0
426,DORALL COLLECTION,DC,29,9.03,100,edt,Men,floral,vetiver patchouli oakmoss musk sandalwood,galbanum rosemary jasmine coumarin,4.0,B.A.G,4.02,14.1K,floral vetiver patchouli oakmoss musk sandalwood galbanum rosemary jasmine coumarin,0
430,Mercedes-Benz,Club Black,295,185.0,100,edt,Women,vanilla,ambroxan benzoin woodsy notes and vanilla,jasmine and incense,5.0,Parvant Store,3.08,76,vanilla ambroxan benzoin woodsy notes and vanilla jasmine and incense,0
431,TOMMY HILFIGER,Tommy Girl,380,122.95,100,edt,Women,citrus,desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood and wild heather,grapefruit citrus orchards crisp green notes honeysuckle and butterfly violets,4.04,Parvant Store,4.02,76,citrus desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood and wild heather grapefruit citrus orchards crisp green notes honeysuckle and butterfly violets,0
