no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
198,MONTBLANC,Lady Emblem,08.05,8.05,2,edt,Men,floral,vanilla amber musk and patchouli,jasmine geranium neroli and ylangylang,5.0,Queen Beauty,3.08,467,floral vanilla amber musk and patchouli jasmine geranium neroli and ylangylang,1
202,BURBERRY,My Burberry Bl,699,255.85,90,edt,Women,floral,amber and patchouli,candied rose and peach nectar,5.0,AMLAQ,3.09,135,floral amber and patchouli candied rose and peach nectar,1
206,Benetton,Hot,124,29.85,100,edt,Women,fruity,sandalwood amber musk vanilla oak moss and cedar,apricot iris water jasmine and lily of the valley,5.0,Beauty Gallery,3.07,59,fruity sandalwood amber musk vanilla oak moss and cedar apricot iris water jasmine and lily of the valley,1
210,Sedr Al-Khaleej Perfumes,Love Touch,111,49.85,100,edp,Women,fresh,woody leather musk,tiare flower rose,5.0,noon,4.02,98.1K,fresh woody leather musk tiare flower rose,1
225,Calvin Klein,Obsession,231,120.0,125,edt,Men,spicy,amber sandalwood patchouli vanilla and musk,brazilian rosewood sage myrrh pine tree and nutmeg,3.0,noon,4.02,98.1K,spicy amber sandalwood patchouli vanilla and musk brazilian rosewood sage myrrh pine tree and nutmeg,1
228,Lancome,Idol,739,299.0,50,edp,Women,floral,white musk vanilla,turkish rose rose de mai indian and jasmine,5.0,hadayiq baris,3.08,122,floral white musk vanilla turkish rose rose de mai indian and jasmine,1
236,CHOPARD,Rose Malaki,520,189.95,80,edp,Women,spicy,cedarwood patchouli and vanilla,rose absolu rose petal accord and smoky leather,4.03,noon,4.02,98.1K,spicy cedarwood patchouli and vanilla rose absolu rose petal accord and smoky leather,1
243,UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,111,28.0,100,edt,Men,woody,sandalwood amber musk vanilla oakmoss cedar,apricot iris water jasmine lilyofthevalley,4.0,Dior Fragrances,3.07,59,woody sandalwood amber musk vanilla oakmoss cedar apricot iris water jasmine lilyofthevalley,1
252,Dior,Joy,500,360.0,90,edp,Women,woody,sandalwood cedar wood vanilla caramel musk woody accords,jasmine rose muget freesia cinnamon,4.0,Golden Perfumesعطر أصلي 100  %,3.06,113,woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon,1
254,Calvin Klein,CK One,220,98.0,100,edt,Unisex,citrus,sandalwood amber musk cedar oakmoss green tea and green accord,nutmeg violet orris root lilyofthevalley rose freesia and jasmine,4.05,Spicebomb,3.08,66,citrus sandalwood amber musk cedar oakmoss green tea and green accord nutmeg violet orris root lilyofthevalley rose freesia and jasmine,1
257,CERRUTI 1881,Cerruti,117,117.0,100,edt,Men,floral,musk sandalwood patchouli oakmoss cedar pepper and pine tree,vetiver ylangylang rose lilyofthevalley and cassia,1.0,London store,3.07,23,floral musk sandalwood patchouli oakmoss cedar pepper and pine tree vetiver ylangylang rose lilyofthevalley and cassia,1
258,Rasasi,Relation,126,55.0,50,edp,Women,fresh,musk and vanilla,bulgarian rose lilac and jasmine,5.0,Willow flower,4.03,5,fresh musk and vanilla bulgarian rose lilac and jasmine,1
259,ESCADA,Magnetism,395,138.95,75,edp,Women,arabian,sandalwood amber patchouli musk benzoin caramel vetiver and vanilla,magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose and almond blossom,5.0,noon,4.02,98.1K,arabian sandalwood amber patchouli musk benzoin caramel vetiver and vanilla magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose and almond blossom,1
261,DORALL COLLECTION,Eventful,29,8.03,100,edt,Women,woody,musk,rose ylang  ylang,4.05,B.A.G,3.07,14.1K,woody musk rose ylang  ylang,1
265,BURBERRY,My Burberry Bl,699,255.85,90,edt,Women,floral,amber and patchouli,candied rose and peach nectar,5.0,AMLAQ,3.09,135,floral amber and patchouli candied rose and peach nectar,1
266,DAVIDOFF,Cool Water,360,76.95,125,edt,Men,woody,amber cedar musk oakmoss tobacco,geranium jasmine neroli sandalwood,4.05,hadayiq baris,3.08,122,woody amber cedar musk oakmoss tobacco geranium jasmine neroli sandalwood,1
271,NARCISO RODRIGUEZ,Narciso,591,284.95,90,edp,Women,floral,vetiver white cedar extract and cedar,musk gardenia white rose,5.0,noon,4.02,98.1K,floral vetiver white cedar extract and cedar musk gardenia white rose,1
278,Ferrari,Scuderia Red,218,96.65,125,edt,Men,fruity,cedar sandalwood moss and vanilla,jasmine geranium orris and nutmeg,5.0,AMLAQ,3.09,135,fruity cedar sandalwood moss and vanilla jasmine geranium orris and nutmeg,1
