no,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,combined_notes,cluster
784,DORALL COLLECTION,Islanders,9,9.0,100,edt,Men,woody,guaiac wood oakmoss patchouli ambergris,bay leaf jasmine,3.04,Beauty Gallery,3.07,59,woody guaiac wood oakmoss patchouli ambergris bay leaf jasmine,2
787,al raheeb,Oud Khurafi,36,36.0,100,edp,Unisex,fresh,cashmeran ambroxan musk,woody,5.0,beautiful lady,445.0,8,fresh cashmeran ambroxan musk woody,2
789,PACO RABANNE,Black Xs Potion,162,162.0,100,edt,Men,woody,labdanum rum,wormwood cashmere wood,4.03,Beautiful Live,412.0,7,woody labdanum rum wormwood cashmere wood,2
813,MB,Tim Tom Leather Black,19,19.0,100,edp,Men,fresh,rose vanilla ginger,pine cardamom lavender rosemary,3.03,Beautify,3.06,528,fresh rose vanilla ginger pine cardamom lavender rosemary,2
814,DIESEL,Plus Plus Masculine,50,30.0,75,edt,Men,spicy,vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean and anise,jasmine birch sage cardamom coriander lilyofthevalley violet and green notes,4.05,Attractive perfume,3.05,244,spicy vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean and anise jasmine birch sage cardamom coriander lilyofthevalley violet and green notes,2
815,LACOSTE,EDTTouch Of Pink For Wom,335,89.0,90,edt,Women,citrus,woody musk and vanilla,jasmine carrot and spicy coriander,4.08,Cute Shop,3.07,98,citrus woody musk and vanilla jasmine carrot and spicy coriander,2
816,GUCCI,Guilty Absolute,515,230.0,90,edp,Men,woody,woody notes vetiver,patchouli cypress,4.01,Rayhanti,3.08,537,woody woody notes vetiver patchouli cypress,2
819,MB,Sweetheart Rockstar,10.08,10.08,100,edp,Women,fresh,rose vanilla ginger,pine cardamom lavender rosemary,4.05,Beautify,3.06,531,fresh rose vanilla ginger pine cardamom lavender rosemary,2
822,ST Dupont,Passenger,103,103.0,100,edt,Men,spicy,guaiac wood benzoin,ginger cardamom pink pepper and lavender,5.0,Beautiful Live,412.0,7,spicy guaiac wood benzoin ginger cardamom pink pepper and lavender,2
830,Alina Corel,For Ever,33.85,33.85,100,edp,Men,spicy,guaiac wood benzoin,ginger cardamom pink pepper and lavender,5.0,Beautiful Live,412.0,7,spicy guaiac wood benzoin ginger cardamom pink pepper and lavender,2
834,PACO RABANNE,1 Million,395,172.0,100,edt,Men,woody,leather woody notes amber indian patchouli,rose cinnamon spicy notes,4.06,Al-Najm,3.07,347,woody leather woody notes amber indian patchouli rose cinnamon spicy notes,2
844,BURBERRY,Mr. Burberry,515,179.95,100,edp,Men,woody,patchouli amber sandalwood vetiver benzoin and cinnamon,lavender cedar nutmeg,4.05,noon,4.02,98.1K,woody patchouli amber sandalwood vetiver benzoin and cinnamon lavender cedar nutmeg,2
861,LALIQUE,Encre Noire,165,140.0,100,edt,Men,woody,sandalwood,lemongrass,4.04,kikup,3.06,23,woody sandalwood lemongrass,2
876,HUGO BOSS,Boss The Scent,426,133.0,100,edt,Men,spicy,leather,maninka fruit and lavender,4.06,Perfume Ms,4.01,537,spicy leather maninka fruit and lavender,2
879,LACOSTE,L.12.12 Blanc,244,88.0,100,edt,Men,woody,leather suede and cedar,mexican tuberose and ylangylang,3.07,hadayiq baris,3.08,122,woody leather suede and cedar mexican tuberose and ylangylang,2
888,Roberto Cavalli,Just Cavalli,357,101.95,90,edt,Men,woody,leather,vetiver,4.08,noon,4.02,98.1K,woody leather vetiver,2
891,Givenchy,Pour Homme,375,117.85,100,edt,Men,spicy,labdanum cedar,vetiver lavender extract,4.07,hadayiq baris,3.08,122,spicy labdanum cedar vetiver lavender extract,2
919,DAVIDOFF,Adventure,210,219.0,100,edt,Men,woody,vetivercederwhitemusk,warm spices of wild aromatic black sesame and south american pimento,4.05,garmid,3.07,98,woody vetivercederwhitemusk warm spices of wild aromatic black sesame and south american pimento,2
926,GUCCI,Guilty Absolute,515,230.0,90,edp,Men,woody,woody notes vetiver,patchouli cypress,4.01,Rayhanti,3.05,537,woody woody notes vetiver patchouli cypress,2
936,Dolce & Gabbana,K,26,14.01,100,edt,Men,aromatic,woody masculine cedarwood vetiver patchouli accords,pimento clary sage geranium lavandin,3.0,beautiful lady,4.03,5,aromatic woody masculine cedarwood vetiver patchouli accords pimento clary sage geranium lavandin,2
940,GIORGIO ARMANI,Stronger With You,415,170.0,100,edt,Men,vanilla,vanilla chestnut cedar amber wood guaiac wood,pineapple sage melon cinnamon lavender,4.05,hadayiq baris,3.08,122,vanilla vanilla chestnut cedar amber wood guaiac wood pineapple sage melon cinnamon lavender,2
962,Yves Saint Laurent,Kouros Silver,540,190.0,100,edt,Men,fruity,amber and woody notes,sage,4.05,Queen Beauty,3.05,5,fruity amber and woody notes sage,2
966,BVLGARI,Aqva Marine Pour Homme,331,163.95,100,edt,Men,citrus,virginia cedar amber,seaweed rosemary water notes,4.08,hadayiq baris,3.08,122,citrus virginia cedar amber seaweed rosemary water notes,2
983,Roberto Cavalli,Nero Assoluto,515,105.0,75,edp,Women,arabian,ebony woody notes,vanilla,4.06,noon,4.02,98.1K,arabian ebony woody notes vanilla,2
986,Roberto Cavalli,Just Cavalli,357,101.95,90,edt,Men,woody,leather,vetiver,4.08,noon,4.02,98.1K,woody leather vetiver,2
987,HUGO BOSS,Bottled Night,688,250.0,200,edt,Men,woody,musk woody notes,violet,4.05,Lady Style,3.06,5,woody musk woody notes violet,2
994,MONTBLANC,Legend Spirit,342,140.0,100,edt,Men,citrus,white musk white woods cashmere wood oakmoss,water notes lavender cardamom,4.07,hadayiq baris,3.08,122,citrus white musk white woods cashmere wood oakmoss water notes lavender cardamom,2
